word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
linear,-2.69881,0.024132,0.828081,1.852954,-0.471499,1.644824,-0.435532,-0.284733,-0.714299,-0.19934,-0.067164,0.117619,-2.488424,0.073745
polynomial,-2.685773,-1.177112,0.386081,0.91321,-0.545424,0.962758,-1.805499,-0.192711,0.593776,0.242247,-1.140784,-0.22551,-2.57677,-0.780649
algorithm,-1.583783,-0.380253,0.552703,-0.799129,-1.63297,2.621778,-0.037183,-1.632526,0.296,1.729296,-0.321945,-0.733018,-2.782654,-0.637368
mathematician,-0.562471,-1.364945,-0.486823,-0.872908,1.216842,1.086319,0.783943,-0.493358,1.955822,-0.207125,-0.595558,3.703424,-2.718462,0.878635
definition,-2.399199,-0.24743,-0.320959,2.091149,0.446002,0.758629,0.255824,-0.550845,0.587692,0.57754,0.220344,-0.538412,-2.576706,0.230535
product,-2.831735,0.18073,0.264127,1.592717,-0.379723,0.537876,-0.165944,0.605594,0.980051,-0.721043,0.765844,-0.18452,-2.340727,-0.739228
state,-1.323457,0.104991,0.819418,0.741349,0.240331,1.215754,0.472978,-1.586441,0.848348,-1.238411,0.214101,0.975383,-2.407556,0.191346
sequence,-2.390105,-0.700671,-0.629462,0.321544,-0.706355,0.527572,-0.821004,-0.660322,0.636202,-0.084596,0.346167,-0.46248,-2.807412,-0.841277
distribution,-1.706378,0.676576,-0.054151,1.429318,1.063106,2.115144,-0.923201,-1.847903,-0.883934,-0.389775,-1.059691,-0.161614,-1.602436,-1.395266
variable,-1.817084,1.596672,0.576575,2.189118,0.598551,0.80202,-0.927876,-1.471179,-0.173388,0.070421,-0.50671,0.289091,-2.289122,-0.998716
solution,-2.494027,-0.428938,0.216716,1.372096,-0.525002,1.782917,-0.117198,-1.56178,0.618469,0.490692,-1.412382,-0.429506,-1.101981,-0.529703
square,-2.974268,1.012639,-1.138831,0.198253,-0.331369,1.209782,0.05629,-0.163805,0.783427,-0.491259,-1.73586,-0.052888,-1.50582,-1.721577
map,-2.602485,-0.303041,0.14124,2.151434,-0.545596,0.6309,0.996736,-0.313894,0.195641,-1.104483,1.549363,-0.695919,-1.668564,-0.318128
class,-2.653017,-0.455123,0.284956,1.400521,-0.983932,-0.071433,-0.135821,-0.308875,0.519163,-0.080765,0.090261,0.174331,-2.164587,1.004048
integer,-3.00496,-0.242413,-0.773772,0.83118,-0.687635,-0.134936,-1.067535,-0.599273,0.630963,0.430278,-0.998965,-0.224114,-2.794966,-1.053995
mean,-2.443214,0.733001,-0.555111,1.588489,0.256605,0.715425,-0.27983,-1.625796,0.099065,-0.037773,-0.403788,-0.178146,-1.812098,-0.7296
proof,-1.427809,-1.072483,-0.287016,1.225439,0.648524,1.004057,1.023749,-0.9997,1.130099,1.604752,-0.682781,-0.685278,-2.814757,0.120021
three,-2.796916,1.187797,-0.825449,0.517799,-0.409325,0.681551,1.620182,-0.758214,1.201644,-0.633634,-1.18338,0.486353,-1.432997,0.121609
dimensional,-3.688278,0.117507,-0.299239,1.663881,-1.141717,1.061435,1.12466,0.326079,-0.538133,-0.56803,-0.558078,-0.244901,-1.216499,0.396142
zero,-2.822332,0.380829,-0.454278,1.606729,-0.125035,0.242211,-0.766595,-1.380314,0.992056,-0.837036,-0.158028,0.153205,-1.650524,-1.14337
algebraic,-2.636757,-1.492871,-0.253881,1.933575,-0.158055,0.505246,0.518964,0.489795,0.100229,0.626276,-0.158058,1.040225,-2.312133,1.137278
formula,-1.711145,-0.330057,-0.09631,1.651716,0.974106,1.406229,-0.156111,0.025985,1.461699,0.541786,-0.672548,-0.571998,-2.529554,-1.552624
ring,-2.931758,-0.947657,-0.26086,1.719746,-0.502971,-0.877984,-0.607259,1.197725,1.418477,-0.443552,0.607101,0.279699,-1.973698,0.864299
edge,-2.816943,1.938286,-1.040504,-0.802823,-1.124157,0.683246,1.676078,-1.147749,0.466175,-1.815871,-0.578418,-1.478727,-1.811564,-0.016199
sum,-2.86738,-0.022085,-0.640478,0.892909,-0.227648,0.43269,-1.006383,-0.616721,1.06203,-0.392972,-0.818826,-0.07581,-2.166465,-1.337364
plane,-3.059259,0.115294,-1.534896,1.642055,-0.075098,0.727572,2.291104,0.25612,0.173009,-0.8986,-0.094188,-0.567846,-0.953572,-0.665381
analysis,-1.472513,-0.501071,0.603338,1.482005,-0.089521,2.091262,0.208491,-1.027412,-1.339487,1.349473,-0.553782,1.57388,-2.165584,0.574958
dimension,-3.285796,-0.062661,-0.608997,1.589223,-0.938674,0.417749,1.047138,0.008,-0.333779,-0.286602,-1.152452,-0.475097,-1.225502,0.092019
curve,-2.891681,-1.237893,-1.288061,1.182086,-0.713179,1.378474,1.006987,-0.787783,-0.433961,-0.558642,0.223509,0.133675,-0.178863,-0.716881
