word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
algebra,1.844373,-0.994671,0.609866,-0.862664,0.530805,1.143498,-0.670499,-0.512444,0.190449,-0.077644,1.227596,-1.400958,0.576721,0.757447,-0.646751,-1.14499,0.975981,-0.767904,0.12442,-2.964875,0.158541,0.378702,-1.200425,-0.781038,0.111026,-0.134727,-1.914894
$\mathbb{N}$,0.709033,-0.294806,-0.594942,-0.592941,0.253052,0.554797,0.662449,0.177247,-0.381503,-0.504161,1.262029,-0.21988,0.563437,0.173193,0.52449,-1.113365,0.175782,0.244142,0.177289,-1.415986,-0.340681,0.421506,-0.204944,-0.202767,0.698333,-1.823899,0.584007
field,0.327311,0.296253,-0.749425,-0.123256,1.043417,0.27131,-2.008535,-0.738072,0.426525,-0.226021,0.039975,0.154627,0.592324,0.188387,0.117597,-0.107411,0.813649,-0.135346,0.794674,-0.418838,-0.324776,0.761304,0.20864,-0.60767,-0.649592,-0.526387,-0.17855
element,0.924796,1.643824,-0.17704,0.309371,0.425802,0.688228,-0.538363,0.350745,-0.012559,-0.181572,0.464633,-0.040649,-0.323509,0.589263,0.335258,-0.51521,0.458892,-0.154047,0.427822,-1.596092,1.222602,0.122784,0.090604,-1.669168,0.16915,-0.616907,-0.122117
system,0.587069,1.776284,-0.038235,0.127243,0.828668,0.170835,-1.042247,-0.615473,0.662928,-0.040451,0.793822,0.914042,0.876073,-0.770514,-0.356928,-0.052099,0.78602,0.671988,0.794343,-2.040873,1.110671,0.46792,0.083144,-0.297786,-0.389355,-0.059854,0.433017
matrix,0.953327,-0.143649,0.723559,-0.565598,1.033803,0.606426,0.295745,-0.286086,0.170036,-0.523454,1.016124,-0.971551,-0.131621,0.526122,0.486012,-0.91736,0.829651,0.151325,0.139068,-2.968229,0.501554,0.690375,-0.141299,-0.650232,-0.265068,-0.568389,-0.380865
mathematical,0.822374,0.374415,1.213562,-1.027926,0.353824,0.350162,-1.341067,-0.664678,1.095213,-0.295294,1.180099,-1.027303,0.541197,0.721313,-0.151036,-0.602755,1.88624,-0.099944,0.423527,-0.923049,0.551577,0.079798,-1.271344,-0.466074,-0.824665,0.439564,-1.956912
method,0.803297,1.476527,0.398316,-1.038704,1.051627,0.356727,-0.768928,-0.369392,0.030206,-0.267989,0.94687,-0.76218,0.115611,0.143836,-0.097573,-0.486247,0.795321,0.305413,0.275372,-1.63124,1.494727,0.342763,0.369867,-0.41182,-1.157871,0.331822,-0.047452
finite,1.768557,-0.263538,-0.04149,-1.039878,0.739293,1.539094,-0.283041,0.039952,0.365267,-0.21038,0.996061,-1.655012,0.329484,0.654702,-0.22518,-0.193896,1.104,-0.17747,0.068431,-3.459059,0.141611,0.386491,-0.422686,-0.732733,-0.163831,-0.268449,-0.980547
result,-1.062906,1.621273,-0.351744,-0.56198,0.622853,0.287023,-1.063405,0.277553,0.240452,-0.451543,0.277116,0.157613,0.425767,0.509696,0.809468,-0.073107,0.16507,0.078687,-0.014226,-1.4555,-0.66051,0.641925,0.226003,-0.095689,-0.842112,-0.113578,0.71248
vertex,0.722065,-0.459992,0.751554,0.199174,0.682681,0.79395,1.524994,-1.272987,0.104879,0.640429,0.281407,-1.98854,0.361329,0.641224,0.384382,-0.27649,0.889979,-0.846583,0.406819,-3.128637,-1.163247,0.267372,-0.144893,-1.350195,0.09611,-0.524236,-0.006153
