word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
model,-1.085502,0.543187,-0.563705,-0.176877,1.174138,-0.890628,-0.767109,-0.220162,-2.135807,-0.645674,-1.561725,-0.142986,-1.934334,0.281506,-1.131517,-1.678056
real,-0.766599,1.305661,-0.191836,-0.031737,2.207716,-2.61737,0.260127,-0.192546,-0.628399,-0.150448,-0.902771,0.735161,-2.140678,-0.591928,0.157548,0.751236
property,-0.763871,1.217078,0.480383,-0.31736,1.695801,-2.142266,0.515634,-0.552537,-1.103325,-0.955556,-2.002551,0.846648,-1.287766,0.449956,-0.140257,-0.044627
geometry,0.238624,1.459556,-0.019431,0.511894,1.418077,-0.839157,-1.712657,-0.998511,-2.25748,-0.827419,-0.939516,1.163828,-1.668463,-1.103398,-0.563871,1.749182
complex,-0.227545,1.850403,-0.411893,0.29701,1.497184,-1.775787,0.157235,-0.276737,-0.953994,-0.358895,-0.952619,0.957043,-2.342911,-0.034683,-0.099155,1.584501
linear,-0.881145,1.926912,-0.502476,0.120412,1.529895,-1.792347,0.116266,0.008262,-1.43661,0.055927,-1.215345,-0.166564,-2.914739,0.49188,-0.010826,0.161299
polynomial,0.096277,0.528179,0.102691,-0.976452,1.694201,-2.862916,-0.337825,-0.782724,-0.20362,0.816196,-0.393039,-0.46334,-2.695788,1.03887,0.868301,0.977399
algorithm,0.238853,-1.294364,-0.21091,-0.221523,0.285159,-2.080914,-1.205117,-0.860451,-0.558581,-0.208899,-0.873884,-0.682365,-3.913068,1.770487,-0.272555,-0.643499
mathematician,2.484003,0.311362,0.913689,-1.006033,0.766881,-1.289089,-2.547884,0.67886,-1.491554,0.084548,0.18571,0.56574,-2.020272,-2.347772,1.267934,-0.105114
definition,-0.846959,0.711759,0.491572,-0.572452,1.542099,-2.167425,0.909387,-0.508941,-1.31689,-0.269196,-1.817986,0.935422,-1.82534,-0.125555,0.125474,0.314144
