word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
finite,0.931619,0.533185,-0.393031,1.72597,2.05716,-2.287563,0.426429,-1.834282,-0.326514,-0.970861,-0.579292,0.291239,0.084811,0.294518,1.24242,0.729313,-0.691399,0.282471,-0.0124
result,-0.18856,1.190677,0.182395,1.884723,1.448769,-1.029876,0.292164,-2.567864,0.248655,0.16568,0.270882,0.60228,-0.1222,0.669627,0.767641,-0.710504,-1.268941,-0.632128,0.039813
vertex,-0.014163,0.768003,1.637264,-0.640386,1.189558,-3.997206,0.575074,-2.578482,0.905911,0.295798,-0.172532,0.19485,-1.411911,0.087719,-0.199549,-0.393745,0.337747,0.964975,-0.274559
term,0.7282,1.353274,-0.613215,1.157486,0.993857,-1.33753,-0.053052,-2.484578,0.284334,-0.484462,-0.269924,0.152558,-0.152905,-0.01339,0.694469,-0.13217,-1.535702,-1.247423,1.093828
line,0.956468,0.550619,0.094191,-0.628764,2.15065,-1.44932,1.140393,-2.851394,0.678146,-0.222666,1.33754,0.600854,-0.879018,0.586366,-0.092469,-0.112842,-0.605322,0.584472,1.015835
model,0.358164,1.20866,-0.716174,0.524449,1.165704,-1.476585,0.303223,-2.201267,-0.265346,1.920461,0.05447,0.039257,0.139582,0.193077,2.506618,-0.831217,-0.928272,0.196022,-0.248954
real,0.808729,0.68897,-0.197881,0.723673,2.116379,-1.704254,0.45042,-1.88582,0.131904,-1.326215,-0.147022,0.16605,0.24304,0.4858,0.860753,0.746956,-1.355406,-0.952947,0.338214
property,0.731804,1.461577,-0.29596,1.544548,1.528788,-1.589722,1.310992,-2.234527,-0.658951,-0.435726,0.018812,0.429451,-0.133578,0.059451,1.110437,0.47199,-0.593982,-0.344543,-0.019024
geometry,0.663482,0.748406,0.102186,0.342204,2.412726,-0.399146,1.989846,-2.342917,-0.36525,0.310639,-0.679452,-1.412268,1.100742,1.435837,0.335349,0.302067,-1.341149,0.749889,0.459755
complex,1.77236,0.453383,-0.098298,0.781044,2.450824,-1.33743,0.791756,-1.573616,0.194133,-1.038397,-0.614529,0.021812,0.197873,1.191247,1.120892,0.533321,-1.717095,-0.175857,0.677692
linear,0.436654,-0.147647,-0.026234,0.705639,1.569443,-2.020183,1.385879,-1.564711,-0.312867,-0.562362,-0.393912,0.300556,-0.068626,0.039724,2.254151,0.026983,-2.112648,-0.542791,0.928894
polynomial,-0.592753,0.575133,0.017128,1.828976,0.847244,-2.328058,-0.596115,-1.180618,-0.358224,-1.199638,-0.781176,1.348237,0.134501,0.97863,0.812156,1.291841,-2.625775,-0.241658,1.511449
algorithm,-1.118218,-0.186582,0.717534,1.913098,1.066436,-1.797941,-0.732021,-1.311468,-0.553012,0.432673,0.359425,1.17408,-0.776744,0.263976,1.463928,-1.740077,-3.33368,1.238895,-0.051032
mathematician,0.227184,0.031719,2.486867,1.250111,1.51577,0.258765,-0.221495,-1.975061,1.678052,0.756868,-1.073465,-1.478999,2.754379,-1.416366,-0.569821,0.466848,-1.905627,0.38296,0.063632
definition,0.788222,1.068626,-0.454518,1.442913,1.929115,-0.941706,0.51587,-2.586948,-0.674125,-0.524576,0.019355,0.342085,-0.294879,-0.159213,1.158944,0.467957,-0.928674,-0.514503,0.059638
product,1.422585,1.074812,0.531821,0.898262,1.464198,-0.786683,0.992102,-1.948609,0.311508,-1.312813,-1.127002,1.578338,-0.663436,-0.358332,1.090858,0.306595,-0.704178,-0.471307,0.844031
state,0.563639,0.103394,0.703429,1.837106,0.495944,-1.529314,-0.175317,-2.767839,0.444191,0.417533,0.112093,-0.61387,0.801738,-0.656033,1.076079,-0.300017,-0.089576,-0.236857,0.653127
sequence,0.949855,1.169013,0.699388,1.092904,1.656265,-1.86739,-1.566898,-1.77878,-0.666507,-1.548583,-0.640251,0.723818,0.134419,0.15799,0.702408,-0.020587,-0.73566,-0.239008,-0.073264
distribution,1.02475,2.152127,0.284357,-0.292219,1.094339,-1.199147,-1.133919,-1.896387,-0.006164,0.713386,0.355466,1.393896,1.226158,0.101815,2.332041,-0.253598,-1.379532,-1.794239,0.22588
variable,0.002577,0.779138,-0.946103,0.073939,1.050392,-2.253162,-0.711707,-2.129586,0.138501,0.147076,-0.030502,0.423696,-0.097746,-0.469858,1.618142,0.318059,-1.422382,-2.309149,0.974307
