word,1,2,3,4,5,6,7,8,9,10,11,12,13
definition,-1.799528,0.043602,-0.019053,0.58222,-0.456382,-1.02392,0.394871,1.831755,0.745735,-0.52438,1.111397,0.458147,0.836725
product,0.002821,0.961609,0.108218,-0.59225,-0.997744,-1.937878,1.01268,1.785904,-0.157793,-1.933984,0.738139,-1.048759,-0.276478
state,0.468689,-2.356424,0.028122,-0.442426,0.122822,-0.62903,0.617816,0.783599,0.689614,-0.559812,0.857673,0.365135,0.527273
sequence,-0.562018,1.329891,0.532927,0.114501,-0.574768,-1.074753,-0.046363,1.085961,0.340241,0.602535,1.522368,0.344031,1.3409
distribution,-0.433678,-0.27629,1.026498,0.190471,-1.40171,-1.811142,0.328425,1.467616,-0.132374,-0.311253,0.182943,-0.410655,0.462581
variable,-1.298829,1.34342,1.179358,0.46643,-0.754419,-1.405659,0.444339,2.244654,0.249547,0.213271,0.827519,0.785305,0.805022
solution,-0.920192,0.919918,0.557682,0.311012,-0.128961,-1.529053,1.168923,1.588663,0.460014,-1.201576,0.948624,-0.307503,-0.269155
square,0.346165,-0.929126,-0.574978,-0.343788,-0.683953,-0.36571,-0.123007,1.590596,-1.50563,1.171307,-0.297948,0.305164,0.500299
map,-0.060782,-0.594696,0.055324,1.041801,-0.491028,-0.078769,0.308516,1.845217,-0.489512,0.364247,0.557785,-0.915524,0.734212
class,0.764541,-0.554432,0.049178,-0.482262,-0.329378,-0.092807,0.985728,1.385367,0.162386,-0.04617,0.481786,0.332612,0.548423
integer,-1.610059,1.787609,0.384613,0.517206,-0.474401,0.266862,-0.125053,2.087114,-0.032958,0.311588,0.417776,2.210726,0.998147
mean,-0.794073,-0.384101,0.250393,-0.786559,-0.70338,-0.999433,0.019295,0.768151,-0.390021,0.447386,2.064889,0.10212,0.150759
proof,-1.036218,0.560197,0.05119,0.56574,0.608825,-0.658116,-0.099622,0.970796,-0.204392,-0.851108,1.309672,0.58092,0.156095
three,1.077248,-0.663644,-0.287758,-0.964963,-0.321624,-0.662206,1.120277,0.679562,-0.486935,0.70953,1.29349,0.446137,0.377327
dimensional,-1.36037,2.122215,0.491124,0.918255,-0.042596,-0.756221,1.223831,1.43662,0.038755,0.864995,1.072647,-0.372793,1.305429
zero,0.02481,1.299301,0.000959,-0.05209,0.13864,-1.360311,-0.125284,1.159089,0.60799,0.33524,0.93055,0.771398,0.11713
algebraic,-2.545695,1.664794,0.176986,1.276863,-0.491989,0.711879,1.486531,0.83784,0.38133,0.046706,-0.317165,0.515418,1.350911
formula,-0.327947,1.446425,-0.57611,-0.143801,-0.700968,-0.894038,1.480297,0.750236,0.224241,0.085043,-0.02059,1.383005,-0.628963
ring,0.602124,1.01098,0.364821,-0.893181,-0.230881,-0.859313,0.444337,0.017809,-0.512208,0.989757,1.115445,-0.049128,0.288535
edge,0.107882,0.220012,0.348262,-0.836396,0.002272,-1.511406,0.662753,0.662022,-1.120496,1.66469,0.447272,-0.522125,1.276372
sum,-0.90767,0.300541,-0.215644,-0.347645,-0.314859,-0.609901,-0.340948,1.10458,-0.437072,-0.791671,0.80208,1.636776,-0.15704
plane,0.815105,0.776589,0.88248,0.014309,1.109986,-0.846064,0.154362,1.315792,0.031063,1.259083,1.276524,-0.224613,-0.209094
analysis,-1.106755,0.214771,0.824695,1.390634,-0.705437,-1.19596,1.065557,1.373422,1.384742,-1.08098,1.157675,0.070657,1.305438
dimension,-0.845049,1.023322,-0.063611,0.503783,-0.160998,-0.889733,0.337132,1.392381,0.231163,0.835477,1.18539,0.224227,0.910839
curve,-0.952817,0.35556,0.675348,0.579584,0.341033,-1.660591,0.558445,1.810073,-1.070489,1.662019,-0.356697,0.622169,0.910613
type,0.133103,0.694593,1.301003,-0.090596,-1.313208,-0.911592,0.641421,2.112196,-0.235929,0.307331,1.46519,-0.405763,0.398949
operator,0.542725,0.727502,0.244599,-0.377891,0.699996,-0.220745,0.9345,1.87709,0.371566,-0.881311,0.258378,-0.401039,-0.158686
prove,-0.44459,-0.254077,0.186795,-0.39794,1.185726,-0.8222,0.616097,0.375729,-0.101637,-0.25596,1.800949,0.561609,-0.387623
probability,-1.93406,0.714155,0.879509,1.143404,0.14513,-1.090277,0.534091,1.383754,0.911632,-0.131826,0.622448,1.783945,0.538851
structure,-0.740695,-0.691096,0.743887,0.185818,-0.933458,-0.507784,1.88215,1.824442,-0.623242,0.490295,0.840647,-0.846674,0.480994
representation,-1.814568,-0.527128,-0.385926,0.255761,-0.445087,-0.097712,0.9239,1.063121,0.437296,-0.334925,0.906502,0.456692,0.757255
series,1.695151,0.532146,-1.594396,-0.499976,-0.055672,-1.182783,-0.110063,0.178722,0.514474,0.297829,1.146375,-0.011755,1.211222
