word,1,2,3,4,5,6,7,8
type,1.634714,2.15514,1.029172,-0.153566,0.141082,-0.127642,-0.349419,-1.092319
operator,0.701002,0.751739,1.392135,-0.942001,-0.085503,0.179875,-0.782111,0.304671
prove,0.633089,1.246627,-0.963063,-0.392167,-0.249672,1.001554,-1.499218,0.093401
probability,-0.383846,1.482209,1.215589,-0.125873,0.896087,1.549146,-1.869327,-1.651615
structure,2.303306,1.820546,0.514082,-0.31368,0.921913,0.576101,0.862881,-0.612654
representation,0.634465,1.19567,0.499145,0.802276,0.832664,1.561543,-0.400538,-0.167514
series,0.391558,1.43428,0.381014,0.923507,-2.407385,-0.455116,-0.066,0.437955
prime,0.579719,-0.940784,-0.105876,0.612096,-0.78034,1.029523,-1.08159,0.737955
measure,1.667532,1.766748,0.7466,-0.958934,0.310913,0.880095,-1.381492,-1.008585
equal,1.074017,0.991935,0.406971,-0.196888,-0.065532,0.761978,-1.651876,-0.653433
lie,1.705532,0.827775,-1.260031,-0.132833,-0.274584,-0.200156,0.11815,-0.436038
manifold,-1.026931,1.402538,0.831328,-1.196791,1.440599,-0.259238,-0.279337,-1.354172
degree,1.264679,0.452657,0.975929,-0.323103,0.049584,1.492908,0.524104,0.065077
differential,-0.264144,1.74269,1.564495,-0.705083,0.898743,0.765837,-1.039622,-1.287578
$\mathbb{C}$,0.728693,0.271447,1.360746,-0.195676,-1.316158,-0.414508,0.038895,-1.416227
regular,1.208919,0.782519,0.468447,-0.298306,-1.421777,-0.240009,-0.557273,0.64599
second,1.62285,0.293157,-0.337645,0.246662,-2.052487,-0.1813,-0.657293,-0.131731
triangle,0.089627,0.900826,0.113515,-0.141311,-0.013535,-1.058961,0.199473,-0.199829
subset,0.135048,1.428208,1.53168,0.511338,1.585098,0.407871,-1.184163,-0.918839
circle,0.77811,1.171495,-0.449714,0.498072,-0.134407,-0.071193,0.564993,0.034243
relation,1.470642,0.223126,0.030208,0.696024,0.368225,2.421329,-0.493878,0.457284
positive,0.094539,2.14637,0.350572,0.436637,-0.645236,1.289139,-1.694423,-0.127022
simple,0.512194,3.037155,0.022771,0.574942,0.475482,0.026745,-0.714231,-0.562197
topology,-0.918774,1.615514,1.763385,-0.174415,1.775139,0.287261,-0.291818,-0.760805
category,1.164665,1.255859,1.332835,0.78041,-0.489179,0.583444,-0.207828,0.395659
surface,1.576496,2.998811,0.56375,-1.185214,0.489533,-0.652541,-0.416773,-1.4025
constant,0.314487,1.486301,0.050071,-0.231838,0.265945,0.650872,-1.338747,-1.519004
application,1.003347,2.262901,2.562649,-0.481877,0.200854,1.355305,-0.71261,0.245489
integral,0.275216,1.261011,1.114938,0.286944,1.107075,0.56647,-0.296576,-0.526559
coordinate,1.034904,0.632068,1.348936,-0.41508,0.855578,0.898202,-0.604742,-0.14005
complete,1.791912,0.432768,0.04625,-0.028608,-0.955988,0.606714,0.428234,-0.355288
root,0.730286,1.999855,-0.502156,0.595192,0.29389,0.33508,0.135771,-0.21147
length,1.671548,1.988929,0.363923,-0.211886,-0.578594,-1.187949,-0.627796,-1.539762
continuous,1.280657,2.062289,0.714821,-0.685077,0.774705,0.12111,-0.860205,-0.533266
logic,-1.014139,1.65907,1.442055,0.764276,0.766822,1.611068,-0.48233,-0.603044
external,1.385609,0.300682,0.966183,0.923348,-1.685051,0.304838,1.319391,0.069334
side,1.836497,1.263175,-0.851636,-0.18361,-1.061049,-1.049733,-0.19177,0.22538
unit,2.390663,0.486264,1.316087,-0.991555,-0.362165,0.145171,-0.780689,-0.363012
equivalent,1.485621,0.795409,1.082587,0.188008,0.3101,0.45148,-1.035479,-0.765608
conjecture,-1.612819,0.517472,-0.269353,-0.043446,1.574275,0.877037,-0.528205,-1.064717
infinite,-0.82681,1.899215,0.271402,1.051686,0.335604,-0.054824,-1.176391,-0.778858
operation,2.061703,0.428376,0.72653,-0.98671,-0.606996,0.57024,-0.775909,0.671992
angle,0.522404,2.300563,0.109856,-0.737298,0.099797,-1.075704,-1.049305,-1.545088
random,-0.617388,1.99158,0.699759,0.218969,-0.193398,0.464612,-0.920819,-0.707637
basis,1.574676,0.988387,0.564308,-0.096769,-0.053664,1.297966,-0.810287,-0.34429
natural,1.737994,1.833218,0.054177,-0.024849,0.551315,1.016453,0.982389,-0.231607
power,1.646701,1.172516,0.043701,-0.320879,-0.739153,0.399105,-1.264197,0.21075
area,3.487575,0.851994,-0.152662,-1.159468,0.01902,-0.160999,0.869468,0.436642
open,1.844382,0.904,0.236834,-0.230626,-1.1489,-0.177943,0.635328,0.778792
solve,-0.214498,1.795168,0.300136,0.055214,0.24849,1.332102,-1.30547,-0.049606
pair,0.588642,1.593952,-0.216621,0.106255,-0.966451,-1.032582,-0.860428,-0.714151
hold,1.923408,0.117296,-0.46996,0.088267,-1.233259,0.663361,-0.155094,0.802411
limit,1.612576,1.368996,0.940209,-0.988464,-0.241802,0.688424,-0.777932,0.257656
special,1.021642,1.087477,0.492668,0.264785,-1.325395,0.498967,-0.27355,0.875638
generate,1.043381,2.501688,1.375094,-0.516633,0.228552,0.569116,-1.354913,-0.424116
coefficient,-0.311081,1.368079,1.44214,-0.424473,1.170693,0.411239,-1.811812,-2.090348
standard,1.542674,1.677108,1.757579,-0.058014,-0.191786,0.517921,-0.685286,0.107453
identity,0.469708,1.343285,-0.43089,1.106915,0.106368,1.741266,-0.962657,0.524634
four,1.854968,0.965129,-0.19055,-0.045391,-1.595123,-0.385915,-0.200891,-0.169717
rule,1.670426,-0.001306,-0.641988,0.259076,-0.213644,1.49173,-1.517817,0.059109
topological,-1.332939,1.578718,1.231549,-0.124136,2.174194,0.704406,-0.344406,-1.301926
computer,0.06833,1.905337,2.355916,0.373535,-0.67827,1.038116,-0.144616,0.942317
