word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
vector,-0.41235,-1.02529,-0.795697,0.395186,0.693548,2.602796,0.314698,-0.169801,-0.370262,-1.327217,1.539112,0.113549,-0.021998,-1.39736,0.37527,0.203307,-0.214285,0.155002,-1.796399,0.143459,0.621791,0.085183,-0.048495,-0.362675
algebra,-0.878381,-1.223168,0.567553,1.412347,-0.864264,1.142435,0.440137,-0.501296,-1.964273,-1.941939,1.394281,0.558215,-0.509622,-1.782828,1.464487,0.125455,-0.757049,0.384321,-1.860009,-0.329247,0.413504,0.714397,-0.368205,-0.395298
$\mathbb{N}$,-0.92201,-0.532172,-0.645271,0.332689,1.834282,0.433211,-0.353813,-0.211193,0.166019,-0.894652,0.329655,0.135084,0.537844,-0.591604,0.845975,0.452932,-1.123268,0.316141,-0.89993,-0.539159,0.969475,0.883754,0.166304,0.111493
field,0.022893,-0.825885,-0.500472,-0.874392,0.059201,0.768931,-0.208414,-0.294831,-0.892637,-1.258784,-0.521767,-1.625682,-0.71949,-0.087783,0.505144,-0.715498,0.487402,-0.143372,-0.506983,-0.42516,0.375349,-0.126728,-0.631808,-0.060752
element,-0.423155,-1.073526,-0.327157,-0.627491,-0.042877,1.684346,0.3102,-0.45648,-1.015299,-0.924734,0.647069,-0.576323,-0.009169,0.149742,0.218619,1.74929,-0.175588,-0.068898,-0.512498,0.60249,0.121192,0.480446,-0.122582,0.853261
system,-0.208379,-0.980256,-0.054656,-0.768394,0.41203,1.95964,0.076049,-0.31308,-0.15177,-0.887217,0.510052,-2.232812,0.650431,-0.067608,-0.072546,1.007017,1.17077,0.063703,-1.036555,0.310842,0.140997,0.430355,-0.255024,-0.880435
matrix,-0.67965,-1.059561,-0.3303,0.552007,0.114868,2.187071,0.30724,-0.522823,-0.063768,-1.485008,1.108891,0.358534,-0.401251,-1.510852,0.962317,0.697546,-0.21188,0.213262,-1.214303,0.045048,0.70995,0.383201,-0.338652,-0.166159
mathematical,-0.51402,-1.124448,1.16712,0.456944,-1.480827,1.68075,0.001833,-0.394681,-1.840545,-1.581641,0.424803,-0.635933,0.661771,-1.745788,0.666816,-0.056055,-0.307949,-0.262944,-0.697999,-0.176488,0.158167,-0.952129,-0.304438,-0.271245
method,0.530578,-1.294636,0.432861,-0.401061,-0.271968,2.289418,-0.086371,-0.356143,-0.232191,-1.536471,0.523355,-0.316929,0.495526,-0.7751,0.301637,1.185749,0.879328,0.127091,-0.711908,0.12831,0.071382,-0.464437,-0.472247,-0.13051
finite,-0.453573,-1.763117,-0.313066,0.752581,0.080063,1.48106,-0.316225,-0.524884,-1.255262,-1.777593,2.189586,0.629083,-0.451499,-2.003934,1.004595,0.638402,-0.327739,-0.014592,-1.974719,0.07111,0.58068,0.512958,-0.004914,-0.03385
result,0.901907,-1.264084,-1.140194,-0.75109,0.038364,0.775163,-0.362044,0.16243,0.689428,-0.667844,0.435621,-1.382014,0.242267,-0.778882,0.183438,0.130335,0.804102,-0.519545,0.149172,-0.467962,0.552404,0.242786,-0.622658,1.061122
vertex,-0.466994,-0.648457,-0.898197,0.236696,0.119867,2.077675,1.022487,-0.164147,-0.819019,-0.471589,1.949143,0.833449,-1.649942,-1.505907,0.944557,-0.028076,-1.094102,0.411632,-1.488615,-1.310359,-0.060415,1.168899,0.239449,-0.323257
term,0.462497,-1.808808,0.131255,0.015955,-0.263526,0.881743,0.093074,0.381105,0.0695,-0.934778,0.153892,-0.90085,0.28142,-0.133859,0.079739,0.899046,0.34329,-0.455112,-0.518324,-0.042485,-0.167092,0.530531,-0.637665,0.979615
line,-0.501616,-0.338652,-0.80329,-1.012508,1.227746,0.220563,-0.560402,-1.0384,-0.601936,0.106515,0.447432,-1.171768,-0.66631,0.350233,-0.106191,0.810962,0.46234,-0.44456,-0.866313,-0.56874,0.133853,1.082984,-0.387379,0.309867
model,-0.054549,-0.55302,0.072577,0.432855,0.531276,1.603471,0.147792,-0.544775,-0.570738,-0.513303,-0.212029,-1.539075,0.264641,-0.534166,0.564182,1.288681,0.671478,-0.305112,-0.943264,0.321904,0.993474,-0.530132,-0.028882,-0.518623
real,0.043742,-0.896809,-1.059342,0.372074,-0.304056,0.298668,-0.19426,-0.134334,0.251306,-0.247096,-0.435447,-0.976762,-0.436704,-0.841984,-0.303805,1.37921,0.076082,0.308135,-0.661654,0.057234,0.063039,-0.26655,0.254734,0.497376
property,0.289276,-1.72226,0.444446,-0.229294,0.309988,0.467177,0.016951,-0.308654,0.235023,-1.273439,0.520768,-0.533919,-0.987325,-0.94125,-0.693705,0.926328,1.025801,-0.353454,-0.587827,-0.403768,-0.788114,0.84432,-0.762295,-0.345758
geometry,-0.437274,-0.335838,0.508691,0.084085,-0.211905,2.050854,0.229994,-0.898173,-2.090007,-1.513913,1.26416,-0.11062,-0.718654,-1.75688,1.231982,0.42711,-0.753756,0.103265,-1.077207,-0.009548,-0.195005,-0.523948,-0.281102,-0.340011
complex,-0.270607,-1.11748,-0.236107,-0.050536,0.348545,1.242793,-0.173866,-0.67878,-0.552208,-1.33621,1.025914,-1.364398,-0.842797,0.144327,-0.299627,0.778178,-0.052025,0.225735,-0.381083,-0.302487,-0.602053,0.128806,-0.151061,-0.203646
linear,-0.544742,-0.704238,-0.108888,0.474657,1.258028,2.798332,0.364894,-1.291072,0.066182,-0.830058,1.224449,-0.402611,-0.46502,-1.394689,0.91948,0.391574,-0.69184,-1.490188,-1.627635,-0.966357,0.381047,-0.076089,-0.15029,0.264108
polynomial,-0.284393,-1.429597,-0.145984,2.258984,-0.144449,1.567199,-0.132858,-0.032368,-0.806342,-0.982731,1.807129,1.295601,-0.976528,-2.888837,0.673498,0.137239,-0.379858,0.054978,-2.340688,-0.214973,0.859375,0.416319,-0.929397,0.194703
algorithm,-0.04779,-0.910864,-0.123885,0.612107,-0.602824,2.408591,-0.092647,-0.611415,-0.305073,-0.547698,0.913822,0.440727,0.341015,-1.747653,0.159326,0.258586,0.750525,0.296988,-2.671107,0.01423,0.691862,-0.483679,-0.039879,-0.647721
mathematician,-0.108679,1.219199,1.586053,1.958895,-0.759815,0.441664,1.29524,-0.01563,-1.862245,-1.329822,-1.113629,-0.188908,0.042514,-0.805641,0.987355,-0.894862,0.137288,-1.026591,-0.596932,0.124004,-0.455484,-1.233445,-0.831342,0.463544
definition,0.09955,-1.859619,0.266181,-0.16485,-0.510315,1.581024,-0.037167,-0.252194,-0.235516,-0.728968,0.991271,-0.479611,0.856986,-0.937923,0.399692,1.063247,-0.145383,-0.394681,-1.446083,-0.176408,0.090463,0.356571,0.237569,0.407581
product,-0.431948,-1.761537,0.672508,0.136614,0.596218,1.496464,0.032366,-0.594757,1.041103,-1.005872,0.273734,-1.080896,-0.378116,-0.50107,-0.24997,1.67466,1.641672,0.934224,-0.319131,0.366465,0.865229,0.312734,0.662707,-0.38312
