word,1,2,3,4,5,6,7,8,9,10
three,-0.290609,0.927416,-0.047352,0.106572,-0.060805,-0.543361,-0.21734,-1.319147,1.862799,-0.7031
dimensional,0.104555,-0.141562,1.010518,-1.014339,1.645238,0.519009,2.823961,-0.874076,0.227008,0.333449
zero,-0.359541,-0.431288,0.278913,0.260744,-0.306973,-0.130802,2.014566,-1.211011,0.996401,0.31383
algebraic,0.45557,0.007295,0.72146,-0.439702,1.74618,1.338608,2.488006,0.532796,-1.278059,1.129437
formula,-0.572515,0.084886,0.403504,-0.468237,-0.510362,-0.428891,1.383239,-1.010751,-0.021914,0.815738
ring,-0.275068,-0.429011,0.15656,-0.800749,0.248498,-0.97551,0.702387,-0.91659,1.21596,-0.569442
edge,0.309158,-0.465656,0.305108,-1.053443,0.905403,-0.555708,0.347623,-0.719174,2.288649,-0.299163
sum,0.648127,-0.295026,0.418471,1.211302,-0.1267,0.804351,1.290901,-0.461866,0.693028,-0.094196
plane,0.433926,-0.26116,0.180098,-0.242695,0.187682,-0.521297,0.740024,-2.166059,0.841982,0.26977
analysis,-0.852546,1.014502,-0.312458,-0.071044,0.878584,2.103656,2.422866,-0.331933,0.719374,0.626458
dimension,0.323664,0.128572,0.665022,-0.055899,0.86925,0.166093,2.296543,-0.573602,0.886292,-0.094489
curve,1.356401,-0.944719,0.053716,-0.433593,1.49891,0.158402,1.205183,-0.869974,1.577076,0.789543
type,0.567435,0.824651,-0.163325,-0.742378,0.613278,0.032283,1.84901,-1.312806,1.675865,0.530075
operator,-0.106829,0.481681,1.283826,0.112154,-0.071504,0.552591,0.431601,-1.375897,0.508317,1.2896
prove,-0.209386,-0.087795,0.34614,0.270438,-0.122673,1.176126,0.460312,-1.82836,0.501346,-1.117885
probability,0.30155,-0.475478,-0.503464,0.70266,0.444593,1.787305,2.707071,-0.922641,0.072195,0.566708
structure,0.954796,1.836418,0.093095,-1.346216,1.340348,0.858365,0.597754,-0.847748,1.505574,0.215634
representation,0.303975,1.152241,0.505601,0.19145,0.55578,1.432466,1.588092,0.043938,0.326563,-0.376555
series,-1.797711,0.374673,0.749997,0.483849,-0.259677,-1.264952,0.704755,-0.029196,1.836623,-0.578582
prime,-0.723217,0.961068,-0.14029,0.840621,-1.407162,0.530254,-0.373666,-0.610984,-0.381879,-0.537013
measure,0.797939,0.462797,-0.432823,0.144834,0.143826,1.498542,1.561543,-1.636161,1.582634,0.554918
equal,0.538975,0.241637,-0.222626,0.842885,-0.32149,0.806347,1.308457,-0.99634,1.129525,-0.002318
lie,0.924397,0.641041,-0.580593,-0.15721,0.710567,-0.108214,-0.333608,-0.777549,1.393006,-1.173799
manifold,0.838633,-1.092492,0.619069,-0.71774,1.618566,0.583207,1.501762,-0.632495,-0.467826,1.234614
degree,-0.228473,1.559893,-0.404446,0.201448,0.464065,1.403776,0.215587,0.186191,1.031257,0.734167
differential,0.05525,-0.420698,0.198842,-0.558525,0.789126,1.206123,2.164559,-1.426875,0.075681,1.562439
$\mathbb{C}$,-0.327925,0.480469,-1.237747,0.584671,0.291228,-0.984253,0.854645,-0.610657,0.973374,1.470626
regular,-0.732482,0.407749,0.533333,0.235578,-0.72244,-0.143111,-0.129661,-0.840577,1.774327,0.34706
second,-0.58405,0.768275,-0.311801,0.710407,-0.561009,-1.029772,-0.228197,-1.33794,1.425958,-0.488674
triangle,0.536955,-0.585819,0.2571,-0.716027,0.4133,-0.536014,0.349371,0.111867,0.811316,0.167847
