word,1,2,3,4,5,6,7,8,9,10,11
number,-0.59513,-1.266663,0.028342,0.043792,0.02838,-0.433778,1.272134,0.380663,0.158425,-1.949292,-0.400685
function,-0.976099,-0.924802,-1.08821,1.053054,-0.114159,0.13802,-0.162264,-1.572522,-0.393268,-2.402968,-0.146691
one,-0.150417,-0.64158,0.579357,-0.561069,-0.510178,0.064842,0.91555,0.215739,-0.036287,-1.740118,-1.481005
set,-0.113782,-0.69586,0.143418,-0.464434,-1.070563,0.30908,0.815808,0.208127,-0.300534,-1.683054,-0.5772
group,0.275174,-0.367776,-0.395236,-1.334432,0.096925,-0.594457,0.091866,-0.148549,0.151727,-1.721921,-1.079957
space,0.449902,-0.352875,-0.348822,0.185993,-0.876817,-0.271035,0.407727,-0.671111,-0.826668,-2.232646,-0.232514
two,-0.335143,-0.516432,0.77454,-0.310209,-0.370041,-0.412077,0.757347,0.644698,-0.481721,-1.870297,-1.193478
theory,-1.824579,-0.261111,-1.578219,0.254906,-0.845567,0.417844,0.242639,-2.711546,-0.282128,-0.759991,-0.68027
point,-0.640888,-0.636509,0.188213,0.436268,-0.681054,-1.014164,0.79833,1.075802,0.203537,-1.657313,-0.854956
theorem,-1.534028,0.250749,-0.777697,1.688102,-0.954719,0.474503,-1.144211,-1.63416,-0.320463,0.261336,1.035132
example,-0.437104,-1.142353,-0.18135,0.530854,-0.311425,0.289003,0.776553,-1.409642,-0.23461,-1.851793,-0.82674
form,-0.083672,-0.626863,0.271831,0.354617,0.201891,-0.398631,0.600926,-0.870014,-0.590358,-1.759353,-1.462878
define,-0.928178,-1.266453,-1.37258,1.086569,-0.218876,-0.198729,0.419678,-1.258896,0.047686,-1.711485,-0.691797
graph,-0.269111,-0.669092,-1.283008,1.901154,-1.073348,-0.08474,-0.164356,-1.523535,-0.373503,-0.645151,1.002967
value,-0.669759,-1.407607,-1.296276,1.022244,-0.238696,0.306965,0.780797,-0.883163,0.522585,-2.043043,-0.5214
problem,-1.066133,-0.218583,-0.833716,0.326964,-0.573626,0.597663,-0.145137,-1.064131,0.436748,-2.06444,-0.857485
mathematic,-0.621196,-0.132431,-2.423942,-0.268586,-0.061742,-0.20435,0.120084,-1.550737,-1.015963,0.07351,0.152784
order,-1.185289,-0.903832,0.179448,-0.436347,0.433557,0.833173,0.181843,0.367834,-0.182725,-1.582187,-1.197793
equation,-2.13653,-0.004098,-0.724061,1.930792,-1.186273,-0.420174,-0.87719,-1.843158,-0.713632,-0.892014,0.71455
first,-0.307392,-0.360285,0.302407,-1.417121,-0.383256,-0.309735,0.726504,0.731382,-0.444684,-1.426941,-1.080168
