word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
term,0.796871,-0.345056,-0.044087,-0.558845,-0.979228,-0.892334,-0.538982,0.451134,-0.235916,0.687512,0.318779,-1.131833,-0.189389,1.022061,-1.115675,0.371759,0.783144
line,0.949689,-1.007857,-1.017779,0.254663,1.013091,-0.281419,0.917509,-0.710493,0.394154,0.207931,0.284005,0.10009,-0.086184,0.714901,-0.877236,-0.279436,1.28248
model,0.988107,-0.796297,0.25762,0.325546,0.358157,-0.348048,-0.610119,0.470372,0.006245,-0.453815,-0.675371,-1.402939,-0.145491,0.79856,-0.118188,-0.4237,1.518908
real,0.540289,0.040327,-0.210374,-0.602698,-0.906315,-0.653581,0.267176,-0.002015,0.667426,-1.13774,0.638343,-0.938476,0.073229,0.814464,0.038658,0.294458,1.069656
property,0.91072,0.304732,-0.825805,-0.52722,-0.308934,0.306543,-0.204125,-0.264785,-0.797807,0.583418,-0.405835,-1.545519,-0.099823,0.534558,-1.786247,0.152981,1.238161
geometry,0.626844,-0.403788,1.467682,-0.095424,1.40233,-1.248848,-0.119777,0.804508,0.267532,0.066444,-1.533562,-1.151704,-1.031885,-0.721532,-1.122428,-0.410638,1.319951
complex,1.054225,-0.155713,0.042741,-0.425275,0.8041,-1.062506,0.101211,0.301233,-0.559675,-0.313673,-0.02897,-0.722695,0.359922,0.348958,-1.681439,-0.405086,1.367604
linear,1.941496,-0.188563,0.527998,0.211515,0.817838,-1.20933,-0.292258,0.434929,1.574011,0.045205,-2.548961,-1.341141,0.662242,-0.012887,-1.221237,-0.269324,0.968498
polynomial,0.39106,-0.15298,1.474379,-0.616861,-0.684467,-0.948226,0.610741,1.003257,1.011124,0.720751,-2.43919,-1.871252,-0.63797,-1.853228,-0.666697,0.110208,0.562654
algorithm,1.021214,-0.396762,1.121915,-0.818015,-0.223423,-0.63733,-0.511695,0.992924,0.226617,0.430057,-1.164299,-2.008073,-0.472773,-0.980795,0.071568,-1.218778,1.44625
mathematician,-2.115751,0.672907,2.468621,1.041309,0.470815,0.473333,-0.382667,1.497651,-0.03183,0.279682,-0.617933,-0.82675,-0.654802,0.071031,-0.434202,1.467938,0.185779
definition,1.091043,-0.307146,0.314314,-1.155079,-0.392804,-1.525587,-1.108929,0.213108,0.409966,0.456465,-0.582708,-1.648266,-0.500506,0.730603,-0.383247,-0.703333,0.589871
product,0.924613,-0.86791,-1.164871,0.307031,-0.451936,-0.196618,-1.440643,-0.113057,-0.896621,-1.295219,-0.359261,-2.313341,0.863545,0.389474,-0.446501,-0.802517,1.551522
state,0.90838,0.499822,-0.228364,-0.484665,-0.862163,0.502681,0.004749,0.237818,0.269335,0.540478,0.521751,0.034235,0.102377,2.286248,-1.235596,0.058946,0.778664
sequence,2.179996,-0.589844,0.459594,-0.404496,0.601006,-1.769508,0.357,0.349729,0.010417,0.118048,-0.261957,-1.349982,0.144789,-0.056194,0.371751,-0.358824,0.507785
distribution,1.259915,-0.266057,-1.024498,-0.145752,0.64755,-0.674342,-1.293642,0.544579,0.232526,0.168547,-0.103366,-2.091985,0.882491,0.497653,-1.066468,-0.426164,0.015684
variable,2.023785,-0.94421,-0.228427,-0.509629,0.454986,-1.497247,-0.557377,0.923662,0.490022,0.599454,-1.469649,-1.882879,-0.124927,-0.414447,-0.475885,-0.528309,0.736985
solution,1.151889,-0.318352,-0.488827,-0.476601,-0.416346,-0.557486,-0.983947,0.957229,-0.633451,-0.856662,-0.846,-1.70551,-0.213221,0.049167,-0.75847,-0.241945,1.733014
square,0.488388,-0.080573,-0.569491,0.480407,0.923476,0.112918,0.452476,-1.723204,1.158109,0.25465,-0.803594,0.071706,0.610016,0.678311,-1.297604,-0.03008,0.910989
map,0.325993,0.270346,-0.549479,-0.890424,2.000316,-0.497185,-0.08749,-0.369034,0.05818,0.741087,-0.014459,-1.269376,-0.24259,0.786147,-0.847037,-0.606455,0.880595
class,0.439804,-1.266394,-0.278111,0.661211,0.085446,-0.074482,0.084653,0.154187,0.097596,0.687444,-0.013187,-0.172993,-0.069584,1.593268,-0.218778,-0.45938,0.744434
integer,1.134801,-0.360257,0.610693,-0.74334,-0.188115,-1.10121,0.554302,0.272965,1.27484,1.56869,-2.432531,-2.119781,0.076432,-0.871059,0.344864,-0.527147,0.703679
mean,1.361941,-0.518973,-0.445724,-0.287139,-0.406338,-1.709788,-0.134307,-0.412699,-0.319075,0.630511,0.353668,-0.485233,0.631571,0.56333,-0.526387,0.59061,0.768896
proof,1.019055,-0.261476,0.037727,-0.560289,-0.829202,-0.51799,-0.864004,-0.398622,-0.043011,0.466056,-0.426165,-1.067144,-0.866965,-0.213264,0.365022,0.304085,0.640784
three,0.784414,-1.102558,-0.520433,0.661493,0.13832,-0.288001,0.897748,-0.294133,0.515258,0.29265,0.712695,-0.042601,0.168931,1.380526,-0.38925,0.458729,0.895767
dimensional,1.334618,-0.177922,1.175696,-0.543729,1.180735,-1.717702,-0.323292,0.735614,0.667158,-0.42786,-0.896448,-1.156872,-0.855656,-0.905327,-0.417338,-0.068516,1.74522
zero,1.78461,-0.378291,-0.481379,-0.542112,-0.155023,-0.986013,0.16312,0.499045,0.865356,-0.56946,-0.718707,-0.508698,-0.124806,0.072714,0.563533,-0.039951,0.972615
algebraic,-0.479099,-0.317665,2.3422,-0.456712,0.444258,-1.376365,-0.170791,1.143086,0.636,0.368241,-1.907101,-1.604658,-1.05257,-0.97915,-0.837392,-0.599346,0.74955
