word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
order,-0.065071,-0.194342,0.59707,0.193335,0.039925,-0.607795,-0.403049,0.320616,0.624624,-0.476598,0.616629,-0.218572,-0.859361,-1.355453,-1.294795,0.121263,0.293399,-0.099494,0.178535,-0.147432,-1.558332,0.135156,0.004957,-0.219921,0.070475,-0.065661,-0.145318,-0.538583,-0.052271,-0.395777,0.089878,-0.111109
equation,-0.261516,0.999382,-0.657606,1.747122,-0.278396,2.244352,0.947967,-0.469757,-0.449022,0.645129,0.534792,0.401049,-1.827356,0.096784,-0.850968,-1.010746,0.571681,-0.034739,-0.149854,0.652985,-0.54714,1.349983,-0.784949,0.963406,0.710146,-0.281518,1.12636,0.540588,1.390371,-0.221782,1.09916,-1.302449
first,-0.280444,0.04326,0.773822,-0.030523,0.429787,0.151256,0.018835,1.043329,0.442667,-0.213215,0.165877,-0.292187,0.077054,-1.326833,-0.001365,0.173756,-0.199957,0.006267,0.286732,0.060235,-0.884105,-0.668631,0.26623,0.189236,0.160933,0.294376,-0.437018,-0.314724,0.392712,0.490541,-0.450068,-0.880046
vector,-0.429794,0.699467,-0.119565,1.222021,0.031466,0.536693,0.216802,-0.715943,0.172646,0.473875,-0.277898,0.576885,-1.522893,-0.038613,-0.688419,-0.636959,0.034863,-0.517064,0.892458,0.231313,0.068902,2.004621,-0.965067,1.249378,-0.508706,-0.481284,0.813389,0.018273,0.670811,-0.196543,0.319093,-1.321264
algebra,0.003262,1.60416,-0.191819,1.238219,0.715737,1.498709,0.198605,-0.657842,-0.074616,0.690066,-0.760066,1.169133,-1.341914,-0.210479,-0.890142,-1.264019,-0.353856,-0.569628,-0.03007,0.276142,0.787127,0.280474,-1.484564,-0.343447,1.250675,0.179482,2.003479,0.393042,1.196494,0.012304,0.546469,-0.064439
$\mathbb{N}$,-0.866633,-0.118093,0.489629,-0.313127,0.522473,0.690886,-0.122816,-0.679525,0.295762,0.566386,0.989441,0.462871,-0.736613,0.474137,-0.193304,-0.302405,-0.34796,-1.055992,0.502438,-0.744906,-0.33317,-0.299385,0.104659,1.979383,-0.128861,0.293932,0.637499,0.820915,0.701396,-0.1297,0.710952,-0.10864
field,0.047941,0.351676,0.172606,1.550477,0.142077,0.370127,-0.493227,1.412113,0.597792,-0.602371,0.332713,-0.003216,0.023402,-1.372277,-0.05645,-0.276986,0.291707,-0.296495,-0.32006,-0.354629,0.215154,0.18606,0.165952,1.006823,0.043722,-0.254306,0.27479,-0.120707,1.165092,0.028597,-0.383621,-0.253877
element,0.007846,0.451455,-0.226003,-0.406357,-0.399002,-0.416984,0.045883,0.88993,0.807971,-0.421944,0.042664,0.445909,-2.355751,-0.36595,-0.684199,-0.285714,-0.183903,-0.204218,-0.743597,-0.385479,-0.344127,0.561442,-0.295692,0.912117,-0.367145,0.981785,0.588376,-0.199314,1.057391,-0.417571,0.311168,-0.333411
system,-0.127785,-0.023559,-0.144531,1.702686,0.453676,-0.762274,-0.315716,0.290937,1.210424,-0.470124,-0.102106,-0.128747,-2.191419,-0.950375,-0.207605,-0.409799,-0.224863,-0.993737,0.054253,0.435379,-0.562088,0.961546,-0.26195,0.713754,-0.657809,-0.175427,0.435788,0.148465,0.250067,1.053855,-0.107977,-0.903881
matrix,-0.276919,1.062544,-0.214928,0.701632,-0.095221,0.512905,0.772136,-0.83481,0.790459,0.544517,0.139596,0.774692,-1.664167,0.278875,-1.036968,-0.634514,-0.548517,-0.335623,-0.185494,0.013892,0.263354,1.152742,-0.206357,1.43747,0.469435,0.411328,0.73674,0.029384,1.082429,-0.652666,-0.073878,-0.879775
mathematical,0.419429,0.997547,0.089416,1.664563,-0.455641,1.241961,0.867766,-0.031914,-0.181596,0.626161,-0.721445,-0.047692,-1.799008,-1.586661,-0.319188,-0.853368,0.316617,-0.059071,0.178068,0.520855,1.039973,0.479652,-0.562563,-0.295443,0.536294,0.376663,1.536802,0.095637,1.859074,0.131269,0.525791,-0.194151
method,0.511213,0.417859,-0.681481,1.337472,0.021164,-0.224333,0.555337,-0.008451,0.391003,0.102229,0.386607,-0.169889,-2.251026,-0.722954,-0.236632,0.353467,0.356913,-0.67494,-0.013486,0.274356,-0.055176,1.339531,0.062406,0.227854,-0.362847,0.523722,0.805326,-0.212252,1.799423,-0.150683,-0.039678,-0.815522
