word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
first,-0.194917,-0.460361,0.25129,-0.120756,-0.153186,-0.606322,-0.170564,-1.053877,-0.463626,-0.342177,-0.707959,0.794763,0.515649,0.043934,-0.121849,0.19468,0.672346,-0.513848,-0.937905,0.10737,-0.395965,0.208542,-0.835277,-0.088394,-0.18186,0.42812,-0.18141,-0.234911,-0.856187
vector,0.52272,-0.933497,0.534705,-0.242512,-1.509065,-0.16363,-1.300787,1.236708,-0.838822,-0.421768,0.353478,-0.952692,-0.825094,0.014726,0.204166,0.566176,-0.941935,-0.816068,-0.732953,-0.608724,1.001616,0.314956,1.109019,-0.766609,1.097117,-0.311653,-0.539604,-1.13482,0.475234
algebra,1.336934,-1.513458,0.63456,-0.339424,-0.644313,0.767339,-1.650832,1.328061,-1.046829,0.039639,-0.481629,-0.021135,-1.626631,0.82251,1.626588,0.356682,-0.763862,-0.315592,0.258738,-0.686894,0.032419,0.390915,1.531255,-0.830554,0.846448,-1.061946,-0.219517,0.706027,-0.216199
$\mathbb{N}$,0.225016,-0.812833,-0.165976,0.137916,-0.088519,-0.68132,-0.446151,1.375182,0.19573,-0.067296,-0.89193,0.25078,0.511219,-0.015029,-0.846947,1.185163,-1.043598,-1.290393,0.442205,-0.353052,0.569393,0.292281,0.684286,-0.035255,0.024717,0.151494,0.080658,-0.577675,-0.727372
field,0.473373,-0.435113,-0.062876,-0.77104,-0.291735,-0.860688,0.043551,-0.73116,-1.078692,-1.144465,0.46403,0.586967,0.317976,-0.178607,0.615974,0.251962,0.278045,-1.370577,-0.574311,0.341208,-0.120383,-0.0344,0.23809,-1.151436,0.693971,0.0559,-0.184929,0.160815,-0.742224
element,-0.521689,-1.505604,-0.055167,0.037715,-0.141976,-1.291674,-0.759302,-0.061481,-0.290339,-0.304547,0.084451,-1.249824,-0.460531,-0.877052,0.870585,0.906261,-0.019389,-1.01858,-1.190259,-0.493385,0.497293,-0.297624,0.414298,-0.162407,-0.066673,-0.749127,0.1517,0.028212,-0.702966
system,-0.01387,-1.706798,0.095535,-0.758693,-0.989799,-0.924926,-0.274715,-1.078437,-0.26539,-0.105488,0.763405,-0.056339,-0.017194,0.225358,0.638702,0.569317,-0.59298,-1.223841,-1.532925,-0.655265,1.006794,-0.28421,0.988732,-0.561988,0.757072,-0.12756,-0.141707,-1.422689,-0.179817
matrix,0.032736,-1.088331,0.197514,-0.291928,-0.972891,-0.496898,-0.99201,1.278029,-0.147404,-0.794329,-0.372423,-0.994172,-1.219425,0.260831,0.435208,0.216019,-0.497798,-1.049716,-0.451256,-0.54647,0.80959,0.625621,0.915262,-0.233832,0.726103,-0.593519,-0.116194,-0.628151,-0.26649
mathematical,1.216552,-1.998744,0.958051,-0.761115,-0.348991,0.588707,-2.002606,0.579515,-0.101431,-1.171474,0.466723,0.252363,-1.209985,0.360309,1.412108,0.404051,0.259736,-0.61648,-0.528903,0.100611,-0.49339,-0.257225,0.710902,-0.873065,0.907768,-0.903536,-0.590873,0.320003,-0.088166
method,0.200296,-2.022305,0.571754,-0.546928,0.292133,-0.39095,-0.937957,0.082569,0.009835,-1.03495,0.673387,-1.201387,-0.510169,0.140184,0.291183,-0.140262,-0.513745,-1.207875,-1.266046,-0.613192,0.491455,-0.347999,0.192667,-0.732258,1.144239,-0.659142,-0.811062,-0.363016,-0.129597
