word,1,2,3,4,5,6
relation,1.235595,-0.002252,1.771647,1.618164,-0.044405,0.432629
positive,-0.844351,-0.619577,1.33083,1.565469,-1.655428,0.021253
simple,-0.812929,-0.262932,0.945824,1.22601,-1.695919,-1.479012
topology,0.645797,0.519705,-0.783873,0.858673,-2.468923,-0.476834
category,-0.305268,-0.701318,0.404352,1.763164,-0.253505,0.268718
surface,-0.980402,0.243314,-0.258228,1.978292,-0.859672,-2.795576
constant,0.100507,-0.081954,0.493267,1.01383,-1.44798,-1.120363
application,-0.333848,-0.184502,-0.094528,3.373539,-1.240964,0.096205
integral,0.606619,-0.06741,-0.043217,1.32064,-1.501417,-0.568997
coordinate,0.725443,-0.210671,-0.270555,2.024027,-0.753495,-0.472291
complete,-0.397081,0.192092,0.728954,1.223375,1.329598,-0.395148
root,-0.319802,0.188905,1.21754,0.78089,-0.669572,-1.100269
length,-1.387464,-0.923225,-0.088662,1.136442,0.087303,-2.182309
continuous,-0.034068,-0.202103,0.032243,2.072978,-1.077128,-1.583544
logic,0.565666,0.496585,0.16096,1.185478,-2.303972,0.557341
external,-0.9206,-0.123041,0.373084,0.985827,1.776961,0.727241
side,-1.476633,-0.586225,0.926135,0.622707,1.077581,-1.701875
unit,-0.302733,-0.749701,-0.267958,2.450563,1.134808,-0.972718
equivalent,0.517434,-0.733265,0.005769,1.76175,-0.435006,-0.801043
conjecture,0.652996,0.869304,-0.252588,-0.193147,-2.446552,-0.155886
infinite,-0.349881,-0.615827,0.325653,0.471513,-2.297001,-0.690849
operation,-0.304258,-0.327791,0.528053,2.361843,0.957249,-0.384692
angle,-1.174105,-0.489182,-0.380838,0.925386,-1.24158,-2.25662
random,-0.868386,-0.088759,0.326944,0.987796,-1.936641,-0.271496
basis,0.21664,-0.249141,0.805999,2.140533,-0.093832,-0.485402
natural,0.166975,0.727449,0.994192,1.774754,0.098989,-1.363626
power,-0.733195,-0.756097,1.127477,1.867185,0.264293,-0.710089
area,-0.211483,0.231842,0.665011,2.198196,2.041906,-1.797245
open,-1.200607,-0.141048,0.766294,1.408801,1.353257,-0.425154
solve,-0.077856,-0.068885,1.024712,1.397859,-1.878809,-0.076045
pair,-1.546786,-0.737315,0.309342,0.411006,-0.38223,-1.28786
hold,-0.533989,-0.206465,1.513613,1.201349,1.559692,0.029564
limit,-0.473593,-0.157767,0.379138,2.499789,0.036711,-0.52442
special,-1.203725,-0.475591,1.034226,1.438246,0.411137,0.392435
generate,-0.746835,-0.571322,0.222256,2.785711,-1.3209,-1.059037
coefficient,0.519562,-0.651985,-0.77128,1.37066,-2.358222,-1.007349
standard,-0.416989,-0.719226,0.115343,2.705455,-0.280395,-0.371499
identity,0.253788,-0.105311,1.982111,1.118091,-1.057689,0.193661
four,-1.560998,-0.486618,0.846815,1.022053,1.294779,-0.829284
rule,0.648626,-0.497145,1.967171,1.145021,0.681854,-0.222564
topological,0.973888,0.345682,-0.667265,1.000406,-2.817501,-0.859169
computer,-0.950478,-0.361321,0.061517,2.404027,-1.118998,1.245874
derivative,0.339472,-0.2837,-0.466531,1.528364,-1.708012,-0.833696
symmetry,0.404324,-0.04821,-0.961835,0.66942,-2.248929,-1.290021
compact,-0.448119,-0.405168,-0.802554,1.327485,-1.168887,-1.027393
factor,-0.023515,-0.146343,0.80916,2.486937,-1.547894,-0.721657
family,-0.381588,0.319578,1.495573,0.306496,1.590543,-0.563237
transform,0.059043,-0.003955,0.720297,0.955737,-1.037713,-0.865224
convex,0.111356,0.122922,-0.950855,0.18963,-2.192708,-2.42275
domain,0.88034,-0.173728,0.139112,1.618371,-0.816844,-0.817274
subgroup,1.398255,-0.529243,-0.992305,0.333974,-1.296671,-1.366099
construct,0.076408,0.657034,0.459834,1.277414,0.708641,-1.791961
axiom,1.235269,-0.016457,-0.333679,0.425427,-2.58592,-0.242388
construction,0.172886,0.399991,0.415489,1.785338,1.267193,-1.18833
therefore,0.392648,-0.506163,1.694554,1.827858,-0.799736,-1.375061
compute,-0.035206,-0.401524,-0.650105,2.226372,-1.984838,0.163705
normal,-0.556972,-0.238612,0.428287,1.819733,-0.849421,-1.21832
distance,-0.637411,-0.715535,0.081877,1.490231,0.297976,-1.183615
notation,0.569701,-0.239251,-0.256438,0.551838,-1.927744,-0.528677
parameter,0.307781,-0.574787,-0.283324,2.344668,-2.456545,-0.871242
euclidean,0.817298,0.466803,-0.925969,0.909955,-2.533808,-1.70208
symmetric,0.733678,-0.534608,-0.829662,0.871409,-2.58219,-1.469315
metric,0.499586,-0.451217,-0.825097,1.724076,-1.605779,-0.546403
test,-1.12173,-0.113382,0.259536,2.323806,-0.499604,-0.119447
bundle,-0.675251,-0.640891,-0.748913,0.911281,-2.038413,-0.888738
center,-0.845985,0.128647,0.035714,1.904178,1.402352,0.360417
symbol,0.572416,-0.824151,0.893299,0.553661,-0.689483,-1.197469
projective,0.848502,0.266765,-1.181146,0.57184,-2.619658,-1.524677
sphere,0.455844,-0.110475,0.282333,0.803662,-1.435231,-1.314636
interval,-0.195773,-0.899484,-0.32653,1.252589,-1.267738,-1.424525
single,-2.565201,-1.184282,0.72952,0.824093,0.154751,-0.639155
geometric,0.556031,0.583678,-0.024287,0.634742,-2.161524,-1.609088
ideal,0.382874,0.008973,1.203028,0.949234,-1.352391,-0.877406
dual,-0.521813,-0.646793,-0.662159,1.607764,-0.590169,-0.444973
module,-0.611842,-0.907354,-1.027613,2.039406,-1.763488,-0.287304
invariant,1.066467,0.371126,-0.665441,0.59392,-2.602358,-1.06739
$\mathbb{Q}$,-0.834986,-1.019927,-0.677404,0.275234,-0.808084,0.081975
index,0.543878,-0.011119,-0.330808,1.895011,-0.535618,-0.023248
information,0.007821,-0.076794,1.124936,2.694111,-0.296021,0.553574
transformation,0.533349,0.363364,0.587979,1.392992,-1.613452,-0.293577
extension,-0.088714,0.237581,-0.498158,2.02241,0.065876,-0.703958
direct,-1.418422,-0.383535,1.620203,0.087219,-0.075017,0.885543
uniform,-0.305275,-0.136114,0.084009,1.247335,-0.512533,-1.116831
path,-0.499913,-0.049827,0.656693,1.187136,-0.521604,-1.40775
negative,-0.46906,-0.505869,1.415565,1.795356,-1.870231,-0.59645
image,-0.859693,-0.186069,0.868936,1.038323,-0.902742,-0.792106
member,-0.333827,0.291132,1.722488,1.053485,1.770778,1.145283
inverse,0.684234,-0.443297,-0.55025,1.152444,-2.549601,-0.988523
step,-1.052271,-0.263036,1.112548,1.117641,-0.565982,-0.523016
independent,-0.192017,-0.043208,1.198593,1.851413,0.696373,0.665844
arithmetic,1.045942,0.174349,-0.417535,1.063278,-2.198985,-0.366214
position,-0.272454,-0.280049,1.244534,1.48886,0.669606,-0.228314
calculus,1.171976,1.06514,-0.582571,0.894226,-2.199549,0.253933
rational,0.93555,0.245736,0.908364,1.196724,-2.69097,-0.027307
law,0.65019,0.78175,2.028835,1.682394,0.853061,0.974514
