word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
value,0.578612,0.400479,-0.819876,0.270051,0.833268,-1.016213,-0.828495,0.186648,1.082133,0.022345,0.300605,-0.98603,0.649643,0.877551,-0.383921,-0.498796,0.229784,-0.254407,0.930601,0.015029,0.325894,0.613734,-0.233821,-0.887805,0.015337,0.085,-0.652779,1.075829,1.526766,-0.253973,0.716845,-0.427611,-0.051647,-0.676515,-1.598506,-0.544626,-0.078809,-0.07439,-0.170265
problem,-0.247091,0.275099,-0.740971,-0.525775,-0.598003,-0.599153,0.079783,0.113036,0.984364,0.692294,0.332874,-0.373038,1.12911,0.55193,-0.738878,0.726716,0.318902,0.563074,1.283444,0.756091,-0.10416,0.740831,-0.303317,-0.223588,0.580286,-0.106617,0.076628,0.729246,0.698534,0.203106,0.619659,0.631288,-0.194704,-0.766096,-0.504822,0.261795,0.05246,0.066001,0.425419
mathematic,-1.142561,0.886551,0.660384,0.758003,0.450258,-0.903964,-0.367425,-0.125728,0.893436,1.917735,-0.123618,-0.801547,-0.01759,0.90101,0.31848,0.539481,-0.134667,-0.752153,-0.231746,0.606273,0.284966,1.401565,-0.050556,-1.471945,0.884085,0.311503,-0.344766,0.252176,0.791846,0.465644,0.093996,0.146444,-0.167041,-0.112303,0.312151,0.325373,1.785481,-1.015224,-0.023999
order,-0.17123,-0.3103,-0.665788,0.020701,-0.238719,-0.169457,0.085454,0.977842,0.14298,-0.40653,-0.159914,-0.164097,0.230674,0.00533,-0.147465,0.709149,-0.59147,0.482612,-0.110495,-0.031465,-0.784664,0.745482,-0.188974,0.082444,-0.289278,0.507266,0.050999,1.23374,1.151955,0.082887,-0.026314,-0.550609,-0.392688,-0.620719,-0.426607,-0.380583,0.059229,0.572623,0.741594
equation,-0.941984,1.71323,0.253903,-0.339969,0.262966,-0.844595,-0.050254,0.279724,0.488889,0.193134,0.887193,-1.049922,-0.064155,1.299503,0.787925,-0.205423,1.652363,0.398034,1.647751,0.730502,-0.844116,1.235683,0.725607,-1.010448,0.682179,-0.022516,-0.264499,0.45477,1.319626,0.163276,0.928991,-0.605723,-0.089099,0.245981,-1.274571,1.605459,1.464705,-0.417966,-1.048941
first,-0.270545,-0.293972,-0.272834,-0.206393,0.223461,-0.832532,-0.062037,0.135002,0.152172,0.110898,0.201712,0.15876,0.024034,-0.678705,0.278637,1.068973,-0.480074,1.068797,-0.537916,0.198283,0.160983,0.962863,-0.446908,0.08194,0.022349,0.383017,0.372798,0.00898,0.27749,0.443703,-0.533367,-0.552938,-0.106506,-0.260606,-0.19078,-0.685709,-0.094497,0.084587,-0.041644
vector,0.187862,1.139188,-0.544323,-0.018943,-0.399146,-1.437555,-0.295958,-0.13512,0.240183,-0.166137,0.371662,0.271676,-0.898163,1.903503,-0.243408,-0.388137,0.506455,0.952254,0.968655,0.379219,-0.571004,0.724548,-0.070703,-0.641845,-0.090072,-0.395317,-0.199249,0.761,0.534072,-0.442377,0.92275,-0.340372,0.537684,-0.376238,-1.231461,1.327815,1.073826,-1.071539,0.13948
algebra,-1.1785,1.406872,1.205518,0.800988,0.074387,-0.975485,-0.647271,0.031489,0.917183,1.095972,0.118828,0.352568,-0.391834,1.461695,0.153469,-0.251828,-0.029615,-0.402489,0.836821,0.555408,-0.085032,0.936045,1.284625,-0.606275,0.436627,-0.15485,-0.124161,0.115394,1.111421,-0.449861,1.030835,-0.617734,0.471648,-0.173591,-0.476615,0.925731,2.465831,-0.682657,-0.344313
$\mathbb{N}$,0.377445,0.285499,-0.408483,0.54581,0.197092,-0.324894,-0.387202,0.804074,0.884104,-1.047391,-0.235164,-0.299888,-1.18806,0.353923,0.484419,-0.204167,0.419882,1.744036,0.593267,0.043505,0.488616,-0.58008,0.559632,-0.279033,0.199043,0.022987,-0.723989,-0.260903,0.522973,-0.239325,0.000251,-0.866812,0.847207,0.209144,-0.152169,0.496456,0.199925,0.263001,-0.618651
field,-0.553713,0.792974,-0.956042,-0.613006,-0.014159,-0.653421,-0.727862,-0.502174,0.506182,0.402829,-0.125803,-0.731621,-0.096092,-0.273221,0.022558,0.103527,-0.002763,1.379776,-0.350356,0.586296,-0.08606,1.144444,-0.018998,-0.481017,0.075794,0.692501,-0.028712,0.010164,0.162893,-0.141534,0.05064,-0.076903,-0.58639,0.179821,-0.195012,-0.23815,1.042555,-0.445774,0.90162
